"filename", "language", "JSON", "C++", "Dart", "HTML", "YAML", "Properties", "CMake", "Markdown", "Swift", "XML", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 20, 109
"c:\programas\exa_gammer_movil\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 12, 110
"c:\programas\exa_gammer_movil\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\programas\exa_gammer_movil\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\programas\exa_gammer_movil\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\programas\exa_gammer_movil\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 7, 41
"c:\programas\exa_gammer_movil\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\programas\exa_gammer_movil\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\programas\exa_gammer_movil\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\programas\exa_gammer_movil\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\programas\exa_gammer_movil\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\programas\exa_gammer_movil\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\programas\exa_gammer_movil\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\programas\exa_gammer_movil\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 253, 547, 14505, 19, 125, 16, 463, 13, 57, 476, 508, 1694, 18676
